Name	Price	Sale	Description	Size	Category	Picture						
CHEEKY GIRL 3-PIECE SET,RED XXXL	€39,90		"Cheeky Girl 3-Piece Suspender Set:   - Quarter cup bra
- Suspender
- Thong
. Color: red
Material: 90% polyamide 10% elasthan"	XXXL 	Queen Size							
BLACK MAXI DRESS, XXL	€39,90		"Black maxi dress, XXL . Material : 100% Polyester. Color: black
"	XXL 	Queen Size							
BLACK BELTED MIDI DRESS	€34,90		"Black belted midi dress, XXL . Material : 100% Polyester

Color: black

Size: XXL

Length: knee

Sleeveless
"	XXL 	Queen Size							
SEXY SWEETHEART BABYDOLL RED	€32,90		"Sexy Sweetheart Babydoll Set . Mesh babydoll with triangle-style cups and flared front, trimmed in satin and finished with satin bows. Comes with matching G-string.

Color: red
Material: 90% polyamid, 10% elasthan"	L/XL/XXL/XXXL	Queen Size							
MODERN AND COMFY RUBBER CORSET	€49,90		A modern version of the corsets of the nobility with the emphasis on comfort, this constructed waist nipper slims and trims to the max for a smooth look through your middle. Color: black Material: Polyester +Spandex	XS| M| L | XXL| XXXL	Queen Size							
SEAMLESS LUREX DRESS	€35,90		Shimmer and sparkle like the star you are in this sexlicious little lurex mini dress!  Material: 82% nylon, 10% lurex, 8% spandex	XL 	Queen Size							
TAME ME STOCKING, XL/XXL	€19,90		"Hold up stockings with zigzag pattern and wide, plain cuffs.  Color: black
Material: 85% polyamide, 15% elasthan"	ONE	Queen Size							
CUTE KITTY RED XXL/XXXL	€19,90		"Sweet and seductive: this Cute Kitty crotchless body stocking with stretchy shoulder straps will certainly get your lover's approval!  Color: red
Material: 100% polyamide"	XXL/XXXL	Queen Size							
CUTE KITTY BLACK XXL/XXXL	€19,90		"Sweet and seductive: this Cute Kitty crotchless body stocking with stretchy shoulder straps will certainly get your lover's approval!  Color: black
Material: 100% polyamide"	XXL/XXXL	Queen Size							
PERFECT TUBE DRESS (XL/XXL)	€45,90		PERFECT TUBE DRESS . Color: black	XL/XXL	Queen Size							
HALTERNECK RIVET SHAPER CORSET	€39,90		2PC. Matching g-string included. Finished in Black PVC Fabric, Halterneck Rivet Shaper Corset is bold, strong, and makes a real statement of intent. This simple black PVC corset could be an item of cyberpunk clothing, gothic club wear, or just lingerie for the eyes of just one person. Features: 10 polyester bones throughout Full metal busk 100% PVC and 100% cotton lining Improves posture Heavy lacing at the back Deep sweetheart cut  Material PVC Color black	S/M/L/XL	Queen Size							
MAXI DRESS WITH LACE BACK AND FISHTAIL	€35,90	€29,90	Made from a stretch poly fabric, this Maxi Dress with Lace Back and Fishtail is comfortable and very friendly to your skin. The ankle-length design makes you become tall and elegant once slip in. Really a wonderful option to every sexy occasion such as soiree, evening party and big events etc. Material : 100% Polyester	XXL 	Queen Size							
WAIST CORSET, QUEEN SIZE	€24,90		Waist corset 	XL 	Queen Size							
"CORSET AND SKIRT SET ""WHITE ICE"" QUEEN SIZE"	€49,90		"Corset and skirt set. Beatiful corset and skirt set. Corset ,comes with skirt ,g-string .
Color: white
Material: acrylic and spandex"	XL 	Queen Size							
"CORSET ""SEXY BLACK"" QUEEN SIZE"	€25,90		Beautiful corset . Color: black Material: acrylic ja spandex	XL 	Queen Size							
"STOCKINGS ""HOLD UPS"" QUEEN SIZE"	€11,90		"15den hold up stockings. Sheer black 15den hold up stockings with a red heel and back seam. 
100% polyamide."	PLUS	Queen Size							
BURLESQUE CORSET SKIRT SET, BLACK, QUEEN SIZE	€36,90		"Burlesque Corset Skirt Set. The design of the corset creates a perfect classic burlesque look.   It is beautifully designed fashion corset with an open back with adjustable criss cross lacing and 
will hug any body shape and look gorgeous for any occasion.
Materjal: Damask
Color: black"	XL/XXL	Queen Size							
"DRESS ""SLIM"" QUEEN SIZE"	€79,90		"A ribbed bodycon contour, the low cut square neck double-face shows your sexy collarbone and perfect shoulder line.   Short sleeves and the front full-length zip closure is convenient and good wearing.
Material: nylon and spandex.
Color: see the picture"	XL 	Queen Size							
SEXY BELLY DANCE BRA	€19,90		"Handmade with sequins belly dance bra.  Material: Acrylic + Spandex 
Colour: Gold"	XXL 	Queen Size							
FISHNET PANTYHOSE - QUEEN SIZE	€11,90		Fishnet pantyhose . Material: 100% nylon.	L/XL 	Queen Size							
"CORSET ""NEW GRAY"" QUEEN SIZE"	€24,90		"Beautiful gray corset.  Comes with g-string.
Material: acrylic and spandex."	XXL/XXXL	Queen Size							
"WAIST CORSET ""JUBILANT"""	€25,90		"The vertical stripes pattern makes you look slim and curvy in this striped waist training womens underbust corset. Material: 90% polyester, 10% spandex
Colour: Red"	XL/XXL	Queen Size							
BLACK BABYDOLL WITH BOW TIE	€19,90		Get the show started in this sheer stretch lace and mesh babydoll with front bow tie detail and included g string.  Material: lace	XXXL 	Queen Size							
PINK BABYDOLL WITH BOW TIE	€19,90		Get the show started in this sheer stretch lace and mesh babydoll with front bow tie detail and included g string.  Material: lace	XXXL 	Queen Size							
"WHITE LACE GARTER BELT ""AFFAIR"""	€14,90	€11,90	"Lace affair garter belt with adjustable back and satin bow detail. Material: lace
Color: white"	XXXL 	Queen Size							
"RED LACE GARTERBELT ""AFFAIR"""	€14,90	€11,90	"Lace affair garter belt with adjustable back and satin bow detail. Material: lace
Color: red"	M| XXXL	Queen Size							
MESH PANTY	€9,90		"A low-rise mesh thong.  Mesh panty with ruffle hem, back keyhole, contrast merrow edge, and satin bows. 
Material: acrylic + lace
Color: white
"	XXXL 	Queen Size							
"BABYDOLL ""DOUBLE"""	€23,90		"Double layer ruffle mesh babydoll with lycra binding shoulder straps.  Features bow and lace trim detail and matching G-String.
Material: acrylic + spandex
Color: pink
"	XXL 	Queen Size							
"BABYDOLL ""FISHNET"""	€23,90		"Babydoll with fishnet over lycra push-up molded underwire cups, decorative studded trim,  center back hook & eye closure with keyhold opening and adjustable straps. 
Features matching fishnet over lycra G-String with studded trim.
Material: fishnet + lycra.
Color: as shown
"	XXXL	Queen Size							
"BABYDOLL ""GLOSSY"""	€19,90		"Very elegant and silky for its first-class fabric. Delicate black buttons in middle and wave bust trim, matching G-string sold included.
Material: Polyester / Nylon
Colour: White"	XL/XXL	Queen Size							
SHEER PANTYHOSE - QUEEN SIZE	€10,90		"Sheer Pantyhose . Material: 100% nylon
Color: black"	L/XL	Queen Size							
SEXY LONG DRESS - QUEEN SIZE	€25,90		"Sexy long dress.  Material: acrylic, spandex.
"	XXL 	Queen Size							
RED BABYDOLL - QUEEN SIZE	€25,90		Beautiful red babydoll.  Material: lace, net	XXL 	Queen Size							
"CATSUIT ""MIDNIGHT PROWLER"" - QUEEN SIZE"	€29,90		Set includes: Scoop neck bodystocking with hood. features opaque hosiery and is crotchless.  Material: 90% Nylon / 10% Spandex	PLUS	Queen Size							
"CORSET ""FIT ZIPPER"""	€12,90		"Black Corset with slimming effect.  Corset is plastic boned and do not have modesty panels.
Material: 100% polyester. 
Color: see the picture"	L 	Queen Size							
"BABYDOLL ""SEXY KITTEN"""	€24,90		"Two-piece Mesh and Metallic Lace Babydoll with padded cups and rhinestone waistline detail.  Babydoll features adjustable straps with bows and asymmetrical skirt opening. 
Includes matching g-string.
Material: Polyester + Spandex
"	XXL 	Queen Size							
MANDY MYSTERY CATSUIT	€19,90		"Black catsuit finished in a soft patterned lace fabric with plunging neckline.  Open crotch. Full foot.
100% polyamide.
"	S/M| M/L 	Queen Size							
MANDY MYSTERY LINGERIE NET CATSUIT	€14,90		Here, nothing is left to imagination. Provocatively crotchless and with great lateral peepholes. Narrow straps. With foot part. 100% polyamide. 	L/XL	Queen Size							
WHITE BURLESQUE PETRA OVERBUST FLOCK CORSET	€39,90		"The White Burlesque Petra Overbust Flock Corset features an hourglass molded shape with a mild sweetheart neckline and feminine ruffled hemline finished. Charming floral panels with sueded overlay, the front saintless steel closure is good to dress up and down while the lace-up back offers you a flexible perfect fit. Color black-white design
Material : 90%polyester + 10%spandex"	S-XXL	Queen Size							
SATIN FLORAL LACE CORSET	€29,90		Satin floral lace corset with G-string. Fabricated by the premium satin with charming floral pattern all over the bodice. The build-in bonings accenting your advantages to show you a capativating S shape. You can wear it in bedroom for seduction or as the underneath below your evening dress. Material: Damask	S-XXL	Queen Size							
PLUS SIZE STUNNING CORSET	€29,90		Stunning Floral Tapestry Strapless Corset with gorgeous Venice trim, hook & eye front, waist cinching lace-up back, removable, adjustable garters. Comes with Thong Panty.  Material : Damask	XXL/XXXL	Queen Size							
"CHEMISE ""LADY LEOPARD """	€49,90		Cami suspender top with underwired cups and bra fastening to the back. Including matching G string. 	XL/XXL	Queen Size							
"SUSPENDER ""4EVER YOUNG"""	€27,90		"Crotchless suspender thong with lace waist band, ruffle detail and satin bow. Material: 85% Polyamide, 15% Elastane
Color: black
NB! Stockings not included!"	S/M| L/XL	Queen Size							
RED SATIN BABYDOLL	€25,90		Satin dress with adjustable shoulder straps, round neckline and crossed detail to the back.  Material: 100% polyester	XXL/XXXL	Queen Size							
BLACK DRESS	€25,90		Satin dress with adjustable shoulder straps, round neckline and crossed detail to the back.  Material: 100% polyester	L/XL. XXL/XXXL	Queen Size							
"BABYDOLL ""PINK LEOPARD"""	€39,90		"Leopard print babydoll.   Material: 100% polyester. 
Color: as shown"	XXL/XXXL	Queen Size							
"BABYDOLL ""PRETTY"""	€45,90		"Make yourself irresistible with this beautiful slightly transparent babydoll.  String included
Material: 90% Polyester 10% Elastane
Color: black"	L/XL| XXL/XXXL	Queen Size							
"BRA ""FANCY&FLIRTY"""	€29,90		"Slightly padded, underwired ¼ cup bra.  Straps adjustable, hook closure in the back. 
Material: 100% polyamide
Color: black
"	XL| XXL| XXXL	Queen Size							
"BABYDOLL ""DREAMY GIRL"""	€45,90		Make yourself irresistible with this beautiful slightly transparent babydoll.  String included Material: 90% Polyester 10% Elastane Color: red	L/XL| XXL/XXXL	Queen Size							
PURPLE SATIN BABYDOLL	€25,90		Satin dress with adjustable shoulder straps, round neckline and crossed detail to the back  Material: 100% polyester	L/XL| XXL/XXXL	Queen Size							
"BABYDOLL ""CAUGHT IN THE ACT"""	€39,90		"Make yourself irresistible with this beautiful slightly transparent babydoll.  String included
Material: 100% Polyamide
Color: black"	XL/XXXL	Queen Size							
PLUS SUURUSES ÕLLETIBI KOSTÜÜM	€49,90		XXL suuruses seksikas kostüüm, mis sobib ka suurematele naisterahvastele ja miks ka mitte meestele. Vaata pilti! Materjal: 100% polüester	XXL 	Queen Size							
